timestamp,can_id,name,dlc,raw_data,RPM,Speed,Coolant,WheelSpeed_FL,WheelSpeed_FR,WheelSpeed_RL,WheelSpeed_RR
1763619163.0408578,0x100,EngineData,8,02EE2A7300000000,121940,57,88,,,,
1763619163.0412254,0x200,WheelSpeeds,8,2727282800000000,,,,147,148,20,0
1763619163.1413128,0x100,EngineData,8,03132D7300000000,140888,185,88,,,,
1763619163.1413913,0x200,WheelSpeeds,8,29292B2900000000,,,,148,149,148,128
1763619163.2437835,0x200,WheelSpeeds,8,2D2D2E2E00000000,,,,150,151,23,0
1763619163.2444644,0x100,EngineData,8,0339307300000000,160352,57,88,,,,
1763619163.3494554,0x100,EngineData,8,035E337300000000,179300,185,88,,,,
1763619163.3496742,0x200,WheelSpeeds,8,3030312F00000000,,,,24,24,151,128
1763619163.4528975,0x200,WheelSpeeds,8,3233333300000000,,,,25,153,153,128
1763619163.4537764,0x100,EngineData,8,0384367300000000,198764,57,88,,,,
1763619163.5548286,0x200,WheelSpeeds,8,3535373600000000,,,,154,155,155,0
1763619163.5555563,0x100,EngineData,8,03A9397300000000,217712,185,88,,,,
1763619163.655806,0x200,WheelSpeeds,8,3938373800000000,,,,156,27,156,0
1763619163.6580062,0x100,EngineData,8,03CF3C7300000000,237176,57,88,,,,
1763619163.7611666,0x200,WheelSpeeds,8,3B3B3B3B00000000,,,,157,157,157,128
1763619163.7638624,0x100,EngineData,8,03F43F7300000000,256124,185,88,,,,
1763619163.8639102,0x200,WheelSpeeds,8,3F3E3F3F00000000,,,,159,31,159,128
1763619163.8675804,0x100,EngineData,8,03CF3C7300000000,237176,57,88,,,,
1763619163.9648185,0x200,WheelSpeeds,8,3B3B3C3A00000000,,,,157,158,29,0
1763619163.9690025,0x100,EngineData,8,03A9397300000000,217712,185,88,,,,
1763619164.0669618,0x200,WheelSpeeds,8,3839393900000000,,,,28,156,156,128
1763619164.0698848,0x100,EngineData,8,0384367300000000,198764,57,88,,,,
1763619164.1706858,0x200,WheelSpeeds,8,3535343500000000,,,,154,154,26,128
1763619164.1714506,0x100,EngineData,8,035E337300000000,179300,185,88,,,,
1763619164.276329,0x100,EngineData,8,0339307300000000,160352,57,88,,,,
1763619164.2765703,0x200,WheelSpeeds,8,3332323300000000,,,,153,25,25,128
1763619164.3812578,0x100,EngineData,8,03132D7300000000,140888,185,88,,,,
1763619164.3816552,0x200,WheelSpeeds,8,2F2F2E3000000000,,,,151,151,24,0
1763619164.4851098,0x100,EngineData,8,02EE2A7300000000,121940,57,88,,,,
1763619164.4860396,0x200,WheelSpeeds,8,2D2C2B2C00000000,,,,150,21,150,0
1763619164.5865738,0x100,EngineData,8,02C8277300000000,102476,185,88,,,,
1763619164.5870192,0x200,WheelSpeeds,8,2A2A2A2A00000000,,,,21,21,21,0
1763619164.6901717,0x100,EngineData,8,02A3247300000000,83528,57,88,,,,
1763619164.6904697,0x200,WheelSpeeds,8,2626272600000000,,,,19,19,147,0
1763619164.792194,0x100,EngineData,8,027D217300000000,64064,185,88,,,,
1763619164.7931063,0x200,WheelSpeeds,8,2323252300000000,,,,145,146,145,128
1763619164.8962336,0x100,EngineData,8,02581E7300000000,45116,57,88,,,,
1763619164.8964746,0x200,WheelSpeeds,8,2120222000000000,,,,144,17,16,0
1763619164.9990447,0x200,WheelSpeeds,8,1E1E1D1D00000000,,,,15,14,142,128
1763619164.9992642,0x100,EngineData,8,02321B7300000000,25652,185,88,,,,
1763619165.1040103,0x100,EngineData,8,020D187300000000,6704,57,88,,,,
1763619165.10447,0x200,WheelSpeeds,8,1A1A191A00000000,,,,13,12,141,0
1763619165.205764,0x200,WheelSpeeds,8,1717181600000000,,,,139,140,11,0
1763619165.2064502,0x100,EngineData,8,01E7157300000000,249384,185,88,,,,
1763619165.3078063,0x100,EngineData,8,01C2127300000000,230436,57,88,,,,
1763619165.307955,0x200,WheelSpeeds,8,1514151400000000,,,,138,10,138,0
1763619165.4128165,0x100,EngineData,8,019C0F7300000000,210972,185,88,,,,
1763619165.412983,0x200,WheelSpeeds,8,1111121000000000,,,,136,137,8,0
1763619165.5164135,0x100,EngineData,8,01770C7300000000,192024,57,88,,,,
1763619165.516949,0x200,WheelSpeeds,8,0E0F0E0F00000000,,,,7,135,7,128
1763619165.621204,0x100,EngineData,8,0151097300000000,172560,185,88,,,,
1763619165.621533,0x200,WheelSpeeds,8,0C0B0B0C00000000,,,,5,133,134,0
1763619165.7222486,0x100,EngineData,8,012C067300000000,153612,57,88,,,,
1763619165.7224607,0x200,WheelSpeeds,8,0908080900000000,,,,132,4,4,128
1763619165.8274002,0x100,EngineData,8,0106037300000000,134148,185,88,,,,
1763619165.8275409,0x200,WheelSpeeds,8,0605040400000000,,,,2,130,2,0
1763619165.9324234,0x100,EngineData,8,00E1007300000000,115200,57,88,,,,
1763619165.9325945,0x200,WheelSpeeds,8,0203030100000000,,,,1,129,128,128
1763619166.0365455,0x200,WheelSpeeds,8,0000000000000000,,,,0,0,0,0
1763619166.037233,0x100,EngineData,8,0106037300000000,134148,185,88,,,,
1763619166.1376376,0x200,WheelSpeeds,8,0302010300000000,,,,129,0,129,128
1763619166.1403286,0x100,EngineData,8,012C067300000000,153612,57,88,,,,
1763619166.2379408,0x200,WheelSpeeds,8,0505050700000000,,,,130,130,131,128
1763619166.2411628,0x100,EngineData,8,0151097300000000,172560,185,88,,,,
1763619166.3427045,0x200,WheelSpeeds,8,0908080900000000,,,,132,4,4,128
1763619166.3428602,0x100,EngineData,8,01770C7300000000,192024,57,88,,,,
1763619166.4470496,0x100,EngineData,8,019C0F7300000000,210972,185,88,,,,
1763619166.4471102,0x200,WheelSpeeds,8,0C0C0C0C00000000,,,,6,6,6,0
1763619166.5511253,0x100,EngineData,8,01C2127300000000,230436,57,88,,,,
1763619166.5513237,0x200,WheelSpeeds,8,0F0F0F0D00000000,,,,135,135,134,128
1763619166.6560166,0x200,WheelSpeeds,8,1112111200000000,,,,137,8,137,0
1763619166.6561563,0x100,EngineData,8,01E7157300000000,249384,185,88,,,,
1763619166.7600975,0x100,EngineData,8,020D187300000000,6704,57,88,,,,
1763619166.760298,0x200,WheelSpeeds,8,1414131500000000,,,,10,9,138,128
1763619166.8641129,0x100,EngineData,8,02321B7300000000,25652,185,88,,,,
1763619166.8643446,0x200,WheelSpeeds,8,1718181800000000,,,,140,12,12,0
1763619166.9667382,0x100,EngineData,8,02581E7300000000,45116,57,88,,,,
1763619166.9679372,0x200,WheelSpeeds,8,1A1A191A00000000,,,,13,12,141,0
1763619167.0679011,0x100,EngineData,8,027D217300000000,64064,185,88,,,,
1763619167.0687768,0x200,WheelSpeeds,8,1D1D1D1E00000000,,,,142,142,143,0
1763619167.1696153,0x100,EngineData,8,02A3247300000000,83528,57,88,,,,
1763619167.1697896,0x200,WheelSpeeds,8,2020212000000000,,,,16,16,144,0
1763619167.270987,0x100,EngineData,8,02C8277300000000,102476,185,88,,,,
1763619167.2711487,0x200,WheelSpeeds,8,2424232400000000,,,,18,17,146,0
1763619167.37356,0x100,EngineData,8,02EE2A7300000000,121940,57,88,,,,
1763619167.3744922,0x200,WheelSpeeds,8,2626272500000000,,,,19,19,146,128
1763619167.4758058,0x100,EngineData,8,03132D7300000000,140888,185,88,,,,
